구군명,행정동명,인구수,면적,인구밀도
서구,남항동,10508,0.74,14200
서구,영선1동,3831,0.17,22535.29412
서구,영선2동,7747,0.63,12296.8254
서구,신선동,7626,1.12,6808.928571
서구,봉래1동,6406,0.3,21353.33333
서구,봉래2동,7563,0.64,11817.1875
서구,청학1동,5704,0.9,6337.777778
서구,청학2동,17209,1.67,10304.79042
서구,동삼1동,26442,3.86,6850.259067
서구,동삼2동,4947,3.36,1472.321429
서구,동삼3동,9226,0.81,11390.12346
연제구,거제1동,28205,0.89,31691.01124
연제구,거제2동,12624,1.83,6898.360656
연제구,거제3동,9574,0.62,15441.93548
연제구,거제4동,9833,0.88,11173.86364
연제구,연산1동,16313,0.85,19191.76471
연제구,연산2동,20086,1.49,13480.53691
연제구,연산3동,10810,0.59,18322.0339
연제구,연산4동,15687,0.92,17051.08696
연제구,연산5동,16683,0.52,32082.69231
연제구,연산6동,16059,1.18,13609.32203
연제구,연산8동,13548,0.7,19354.28571
연제구,연산9동,33497,1.63,20550.30675
사하구,괴정1동,18476,1.09,16950.45872
사하구,괴정2동,15296,1.03,14850.48544
사하구,괴정3동,11844,1.9,6233.684211
사하구,괴정4동,14926,0.87,17156.32184
사하구,당리동,24729,3.87,6389.922481
사하구,하단1동,21569,6.5,3318.307692
사하구,하단2동,25216,3.08,8187.012987
사하구,신평1동,15964,1.65,9675.151515
사하구,신평2동,17380,2.65,6558.490566
사하구,장림1동,10300,2.53,4071.146245
사하구,장림2동,26322,2.3,11444.34783
사하구,다대1동,37087,5.08,7300.590551
사하구,다대2동,26124,2.69,9711.524164
사하구,구평동,12663,3.53,3587.252125
사하구,감천1동,17505,2.39,7324.267782
사하구,감천2동,5521,0.62,8904.83871
동래구, 수민동 ,"31,382",1.21,25935.53719
동래구, 복산동 ,"8,829",0.78,11319.23077
동래구, 명륜동 ,"26,406",1.35,19560
동래구, 온천1동 ,"23,726",2.12,11191.50943
동래구, 온천2동 ,"24,422",2.33,10481.54506
동래구, 온천3동 ,"37,467",1.77,21167.79661
동래구, 사직1동 ,"10,295",0.32,32171.875
동래구, 사직2동 ,"25,270",1.86,13586.02151
동래구, 사직3동 ,"17,007",0.8,21258.75
동래구, 안락1동 ,"13,986",0.97,14418.5567
동래구, 안락2동 ,"26,149",1.34,19514.1791
동래구, 명장1동 ,"13,741",0.9,15267.77778
동래구, 명장2동 ,"14,117",0.88,16042.04545
북구,구포1동,15781,1,15781
북구,구포2동,24210,3,8070
북구,구포3동,18740,1,18740
북구,금곡동,36302,8,4537.75
북구,화명1동,40347,5,8069.4
북구,화명2동,17451,5,3490.2
북구,화명3동,28757,2,14378.5
북구,덕천1동,11958,1,11958
북구,덕천2동,11427,2,5713.5
북구,덕천3동,10294,1,10294
북구,만덕1동,16509,5,3301.8
북구,만덕2동,26908,2,13454
북구,만덕3동,18000,2,9000
수영구,남천1동,15564,0.99,15721.21212
수영구,남천2동,11731,0.66,17774.24242
수영구,수영동,14287,0.72,19843.05556
수영구,망미1동,27034,1.82,14853.84615
수영구,망미2동,10363,0.81,12793.82716
수영구,광안1동,25724,1.21,21259.50413
수영구,광안2동,18789,0.45,41753.33333
수영구,광안3동,9581,1.18,8119.491525
수영구,광안4동,13584,0.84,16171.42857
수영구,민락동,28149,1.52,18519.07895
사상구,삼락동,5508,6.68,824.5508982
사상구,모라1동,27143,1.67,16253.29341
사상구,모라3동,9718,3.34,2909.580838
사상구,덕포1동,8348,0.56,14907.14286
사상구,덕포2동,12510,1.6,7818.75
사상구,괘법동,24145,3.45,6998.550725
사상구,감전동,12701,3.48,3649.712644
사상구,주례1동,16563,1.53,10825.4902
사상구,주례2동,22083,2.37,9317.721519
사상구,주례3동,12553,0.86,14596.51163
사상구,학장동,27241,5.48,4970.985401
사상구,엄궁동,25172,5.04,4994.444444
중구,중앙동,3649,0.6,6081.666667
중구,동광동,2845,0.17,16735.29412
중구,대청동,6206,0.35,17731.42857
중구,보수동,10604,0.42,25247.61905
중구,부평동,4600,0.21,21904.7619
중구,광복동,997,0.21,4747.619048
중구,남포동,1118,0.23,4860.869565
중구,영주제1동,4978,0.29,17165.51724
중구,영주제2동,7004,0.34,20600
동구,초량1동,4914,0.26,18900
동구,초량2동,5470,0.39,14025.64103
동구,초량3동,12931,1.53,8451.633987
동구,초량6동,5565,1.34,4152.985075
동구,수정1동,4013,0.22,18240.90909
동구,수정2동,9482,1.12,8466.071429
동구,수정4동,3677,0.92,3996.73913
동구,수정5동,5002,0.34,14711.76471
동구,좌 천 동,11611,0.46,25241.30435
동구,범일1동,11348,0.98,11579.59184
동구,범일2동,7761,0.83,9350.60241
동구,범일5동,4214,1.73,2435.83815
금정구,서 1 동,"5,130",0.36,14250
금정구,서 2 동,"8,997",0.4,22492.5
금정구,서 3 동,"10,979",0.92,11933.69565
금정구,금사회동동,"7,712",5.5,1402.181818
금정구,부곡1동,"8,133",0.71,11454.92958
금정구,부곡2동,"17,771",1.2,14809.16667
금정구,부곡3동,"15,492",8.23,1882.381531
금정구,부곡4동,"12,525",0.67,18694.02985
금정구,장전1동,"17,978",3.28,5481.097561
금정구,장전2동,"26,221",2.74,9569.708029
금정구,선두구동,"2,290",12.05,190.0414938
금정구,청룡노포동,"9,774",10.91,895.8753437
금정구,남 산 동,"27,929",3.64,7672.802198
금정구,구서1동,"19,396",3.03,6401.320132
금정구,구서2동,"32,373",3.19,10148.27586
금정구,금 성 동,"1,013",8.43,120.1660735
서구,동대신1동,5447,0.24,22695.83333
서구,동대신2동,6869,0.43,15974.4186
서구,동대신3동,7501,1.46,5137.671233
서구,서대신1동,14948,0.64,23356.25
서구,서대신3동,7557,1.4,5397.857143
서구,서대신4동,7350,3.11,2363.344051
서구,부민동,7403,0.41,18056.09756
서구,아미동,6049,0.72,8401.388889
서구,초장동,3985,0.44,9056.818182
서구,충무동,9689,0.37,26186.48649
서구,남부민1동,4645,0.37,12554.05405
서구,남부민2동,8390,0.74,11337.83784
서구,암남동,14737,3.65,4037.534247
영도구,남항동,10508,0.74,14200
영도구,영선1동,3831,0.17,22535.29412
영도구,영선2동,7747,0.63,12296.8254
영도구,신선동,7626,1.12,6808.928571
영도구,봉래1동,6406,0.3,21353.33333
영도구,봉래2동,7563,0.64,11817.1875
영도구,청학1동,5704,0.9,6337.777778
영도구,청학2동,17209,1.67,10304.79042
영도구,동삼1동,26442,3.86,6850.259067
영도구,동삼2동,4947,3.36,1472.321429
영도구,동삼3동,9226,0.81,11390.12346
기장군,기장읍,53034,,#DIV/0!
기장군,장안읍,8614,,#DIV/0!
기장군,정관읍,81022,,#DIV/0!
기장군,일광읍,28050,,#DIV/0!
기장군,철마면,7739,,#DIV/0!
남구, 대연1동 ,15819,1,15819
남구, 대연3동 ,33354,4,8338.5
남구, 대연4동 ,11902,1,11902
남구, 대연5동 ,16806,1,16806
남구, 대연6동 ,14906,1,14906
남구, 용호1동 ,42926,2,21463
남구, 용호2동 ,19173,2,9586.5
남구, 용호3동 ,11434,2,5717
남구, 용호4동 ,7874,2,3937
남구, 용 당 동 ,7989,4,1997.25
남구, 감만1동 ,9760,3,3253.333333
남구, 감만2동 ,6616,1,6616
남구, 우암동 ,12551,1,12551
남구, 문현1동 ,11333,1,11333
남구, 문현2동 ,8049,1,8049
남구, 문현3동 ,16667,1,16667
남구, 문현4동 ,8974,1,8974
부산진구,부전제1동,15552,,#DIV/0!
부산진구,부전제2동,9947,,#DIV/0!
부산진구,연지동,20842,,#DIV/0!
부산진구,초읍동,22431,,#DIV/0!
부산진구,양정제1동,20540,,#DIV/0!
부산진구,양정제2동,12976,,#DIV/0!
부산진구,전포제1동,20927,,#DIV/0!
부산진구,전포제2동,21101,,#DIV/0!
부산진구,부암제1동,23009,,#DIV/0!
부산진구,부암제3동,18011,,#DIV/0!
부산진구,당감제1동,23900,,#DIV/0!
부산진구,당감제2동,10333,,#DIV/0!
부산진구,당감제4동,11757,,#DIV/0!
부산진구,가야제1동,19989,,#DIV/0!
부산진구,가야제2동,17199,,#DIV/0!
부산진구,개금제1동,17202,,#DIV/0!
부산진구,개금제2동,11357,,#DIV/0!
부산진구,개금제3동,29547,,#DIV/0!
부산진구,범천제1동,12046,,#DIV/0!
부산진구,범천제2동,20709,,#DIV/0!
해운대구,우제1동,22171,,#DIV/0!
해운대구,우제2동,30155,,#DIV/0!
해운대구,우제3동,28129,,#DIV/0!
해운대구,중제1동,27341,,#DIV/0!
해운대구,중제2동,15354,,#DIV/0!
해운대구,좌제1동,17559,,#DIV/0!
해운대구,좌제2동,31067,,#DIV/0!
해운대구,좌제3동,15531,,#DIV/0!
해운대구,좌제4동,22419,,#DIV/0!
해운대구,송정동,9548,,#DIV/0!
해운대구,반여제1동,34605,,#DIV/0!
해운대구,반여제2동,12006,,#DIV/0!
해운대구,반여제3동,8100,,#DIV/0!
해운대구,반여제4동,15120,,#DIV/0!
해운대구,반송제1동,13050,,#DIV/0!
해운대구,반송제2동,22086,,#DIV/0!
해운대구,재송제1동,36772,,#DIV/0!
해운대구,재송제2동,23322,,#DIV/0!
